Date,Open,High,Low,Close,Adj Close,Volume
2020-04-16,101000.0,103500.0,89400.0,92400.0,78976.671875,13576381
2020-04-23,91300.0,94400.0,90100.0,93600.0,80002.3515625,5997141
2020-04-30,93600.0,94200.0,90700.0,92600.0,79147.6171875,3130217
2020-05-07,93000.0,96500.0,90500.0,92300.0,78891.1796875,6848333
2020-05-14,92000.0,99400.0,91000.0,97200.0,83079.359375,9428131
2020-05-21,97100.0,99600.0,94000.0,97200.0,83079.359375,8034591
2020-05-28,96300.0,113000.0,96300.0,108500.0,92737.7578125,12016083
2020-06-04,108000.0,115000.0,106500.0,108500.0,92737.7578125,9027546
2020-06-11,101500.0,105000.0,97000.0,100000.0,85472.6015625,7872198
2020-06-18,101000.0,103500.0,98000.0,99400.0,84959.7578125,5819083
2020-06-25,100500.0,101000.0,97600.0,99000.0,84617.8671875,3974075
2020-07-02,99900.0,103500.0,98600.0,99600.0,85130.703125,4920913
2020-07-09,99400.0,113000.0,98000.0,110000.0,94019.84375,11275123
2020-07-16,109500.0,125500.0,109500.0,124500.0,106413.375,18766156
2020-07-23,123500.0,130500.0,120000.0,127500.0,108977.5546875,12346002
2020-07-30,128000.0,146000.0,123500.0,144500.0,123507.890625,11973419
2020-08-06,145500.0,180500.0,144500.0,170000.0,145303.40625,27319853
2020-08-13,171000.0,172000.0,154000.0,155000.0,132482.53125,15726960
2020-08-20,158000.0,171000.0,152500.0,163500.0,139747.6875,14622540
2020-08-27,165500.0,182000.0,164500.0,176500.0,150859.125,18218381
2020-09-03,167500.0,174000.0,165500.0,169000.0,144448.671875,9348422
2020-09-10,167500.0,191500.0,167500.0,184000.0,157269.53125,15113462
2020-09-17,184000.0,188500.0,170000.0,171500.0,146585.515625,15083587
2020-09-24,172500.0,180000.0,166000.0,178500.0,152568.5625,4927107
2020-10-01,178500.0,188500.0,178500.0,180500.0,154278.015625,8138888
2020-10-08,180500.0,183500.0,175000.0,176000.0,150431.78125,6901388
2020-10-15,176500.0,177500.0,156500.0,162500.0,138892.953125,14586483
2020-10-22,163500.0,178000.0,163000.0,170000.0,145303.40625,11124520
2020-10-29,169000.0,175000.0,164500.0,175000.0,149577.03125,6509606
2020-11-05,176500.0,179000.0,169500.0,174000.0,148722.296875,11656443
2020-11-12,174000.0,185500.0,173500.0,180000.0,153850.671875,12196402
2020-11-19,179000.0,184000.0,175000.0,179000.0,152995.953125,7670203
2020-11-26,179000.0,196500.0,178000.0,196500.0,167953.640625,14607543
